900298439;Fundacion Colombiana Brazos Abiertos ;Villa Emilia ;Fontibón;Carrera 80 I #42 A - 17 Sur ;4.622491, -74.163527
860006881;Fundación Central De Juventudes;Salitre Greco;Engativá;Av 68 #49A - 95;4.661169, -74.098641
830011345;Asociación Mujeres Del Rio ;Trinidad G.;Puente Aranda ;Diagonal6B #78A-70;4.631784, -74.147024
860045094;Fundación Colegio Santa Maria;San Antonio;Antonio nariño;Carrera  11 #185B-17;4.763216, -74.03286
860007314;"Congregación De Las Siervas De Cristo Sacerdote Hogar Callearita Santos";Cruces;Santa Fé;Carrera  8 #1F-13;4.589317, -74.081771
890980007;"Congregación De Hermanas Misioneras De Santa Teresita Del niño ";Ciudad Jardín Sur - nueva;Antonio nariño;Carrera  12 B # 18 - 27 Sur;4.569933, -74.235066
900314972;Fundación Red De Amigos;Isla Del Sol;Tunjuelito ;Calle 67 B Sur # 62 04;4.590214, -74.151566
832005332;Asoc Jireh Provision De Amor ;Verdala -  Cota;Suba;Carrera  6B #12-39;4.811339, -74.102876
800200505;Asociación De Padres De Hogares De Bienestar El Amparo De Los niños;El Olivo;Chapinero;"Cr  10 A 67-46";4.652488, -74.060580
900223205;Fundación Semillas De Vida Tierra Fertil;Juan Pablo Ii;Ciudad Bolívar;Calle 67A #18-76;4.554640, -74.146430
830125802;Fundación Por Un Mundo nuevo Para La Protección De Los niños, Jovenes Y Familia    ;Estrada;Engativá;Carrera  69A #71A-06;4.681116, -74.089043
832000645;Asociacion De Padres Usuarios Y Hogares De Bienestar Santa Ana;Santa Ana Compartir ;Suba;Carrera  11B # 7B-22 ;4.713674, -74.230293
890400063;Denominación ECalleesiastica  Iglesias  Evangelicas Del Caribe Pasos De Fe;Suba;Suba;Av Alfonso Lopez #15-148;4.631345, -74.066644
830045220;Asociación De Padres De Familia Ecos Y Sonrisas Del Futuro;La Rivera;Kennedy;Calle 70D Bis #113-72;4.711778, -74.130423
800040208;Asociacion Prodefensa Del niño Y La niña Del Barrio Villa nidia;Cerro norte;Usaquén;Callee 160 C Bis  # 1 B 11 ;4.743305, -74.058287
860041990;Parroquia La Resurrección;;Usaquén;Diagonal32B Sur 12B;4.594839, -74.119114
860531776;Fundación Fiambre;Altos Cazuka;Rafael Uribe;Carrera  1A #11-07 ;4.582363, -74.076985
830104715;Asociación Para El Desarrollo Y Bienestar Integral De La Comunidad Mi Mundo - Asomimundo ;;Soacha;Carrera  110B #29A-21;4.719824, -74.113781
832003327;Parroquia San Antonio De Padua - Cogua;Cogua ;Suba;Calle 4 #3-44;5.024271, -74.007294
860006696;Hijas De La Caridad De San Vicente De Paúl - Casa La Milagrosa;;Cogua;Calle 195 # 56 - 95;4.774538, -74.052188
900126032;Asocia. Reingenieria De Corazones Para Un nuevo Amanecer  ;Sta Barabara;Martires;Carrera  6 #5-99;4.590431, -74.078591
900158448;Parroquia Maria De La Paz;Fontibon ;Santa Fé;Carrera  82C # 5A - 28 Sur;4.637133, -74.158043
900200362;Parroquia Beato Santiago Alberione;La Estrella;Ciudad Bolivar;Carrera  18 #73 Sur-50;4.545567, -74.147572
830044573;Fundación Hogar Bezaleel A La Sombra De Dios       ;Tejar;Fontibón;Calle 26 Sur #51A-05;4.603886, -74.123474
800203986;Asociación Corazón, Esperanza Y Amor;;Barrios Unidos;Carrera  26 #70-73;4.661918, -74.069349
830123149;Feadin;Santa Librada;Usme;Calle 75 Sur #1A Este-57;4.514933, -74.114310
830125241;Fundación Pacto Belen;Fontibon;Fontibón;Calle 19 #109-48;4.680518, -74.148800
900066887;Fundación Pequeñas Almas ;Primavera;Puente Aranda ;Carrera  47 #6-29;4.623595, -74.106172
900116862;Fundacion Medica Santa Maria Virgen;Bosques De Mariana;Engativa;Calle 70A #11D-43;4.706563, -74.127626
900314175;Fundación Social Para La InCalleusión Orientada Y A La niñez Colombiana - Fusion Colombia;Villa Javier;San Cristobal ;Calle 84 Sur #5-45;4.579604, -74.084150
830040873;Colegio Paraiso Mirador;Paraiso nueva;Ciudad Bolivar;Carrera  27L #71H-46 Sur;4.552203, -74.161761
830040834;Fundacion Dharma;Santa Barbara;Usaquén;Carrera  18 #109-66;4.694737, -74.048378
900004116;Institución De Asistencia Social Hogar Infantil Estrella De Oriente;Codito;Usaquén;Calle 182 # 3 - 79/85 ;4.775415, -74.019964
860039791;Hogar La Bondad De Dios;Palermo;Santa Fé;Diagonal 46 # 20 - 69;4.636708, -74.072719
860354443;Fundación Centro Terapeutico Infantil Ceti;La Paz;Barrios Unidos;Calle 67 #28A-35;4.661289, -74.074379
860016850;Parroquia Jesucristo Obrero;;Barrios Unidos;Carrera  3C #32-10;4.617300, -74.064589
860006696;"Hijas De La Caridad De San Vicente De Paúl Centro Ambulatorio Medalla Milagrosa";Samper Mendoza;Martires;Calle 22C #26C-35;4.620437, -74.082077
830091306;Corporación Para El Desarrollo  Comunitario El Buen Samaritano;La Rivera;Martires;Carrera  97 A Bis # 42 A - 13 Sur;4.645278, -74.177038
860032186;Fundacion Para La Asistencia De La niñez Fana;Suba ;Engativá;Carrera  96 # 156B-10;4.753949, -74.083119
830147673;Asociación De ReciCalleadores De Rafael Uribe Uribe Formando Comunidad;;Engativá;Calle 37 Sur #24A-18;4.582043, -74.119655
800243329;Parroquia San Ezequiel Moreno- Capilla Beata Madre Teresa  Calcuta;Estancia nueva;Ciudad Bolivar;Calle 60B # 2 - 17;4.588103, -74.184578
832003674;Fundación Forjadores Del Mañana Para El Bienestar Comunitario Visión Al Futuro;Compartir;Suba;Carrera  14A # 2A-55 Sur;4.590136, -74.092156
860025917;Corporación Futuro Juvenil;Estrada;Engativa;Av Constitucion #64-39;4.673742, -74.098639
830109507;Asociación Solidaria niños Con Futuro;Simon Bolivar nueva;Barrios Unidos;Calle 79 #50-15;4.673132, -74.069804
900307312;Fundación La Esperanza De Amaly;Fontibon - Ruby;Fontibón;Calle 22 L # 96 H - 45;4.676538, -74.136664
830010375;Asociación Centro De Atención Integral San José;Ciudad Jadín;San Cristóbal ;Calle 17 Sur # 10 - 21;4.578946, -74.093409
830121556;Fundación Colombiana De Servicios Comunitarios ;Eduardo Santos;La Candelaria; Calle 1C Bis #19-18;4.593991, -74.091951
900038836;Parroquia Madre Teresa De Calcuta;Casa Linda;La Candelaria;Calle 59A Sur # 22- 91 Casa 3;4.569593, -74.143510
830019818;Asociación Mujer Cabeza De Familia -Santa Barbara ;                                                                                                    ;Candelaria;Carrera 9 #6 A - 10;4.664962, -74.050354
900316207;Asociación Amor Y Esperanza H.S (Hogares Sustitutos);Los Monjes;Engativá;Carrera  110 A Bis # 64 - 22;4.701476, -74.131368
900113703;Fundación Shekinah;Engativá - Centro;Engativá;Carrera  121 # 63 K - 10;4.713778, -74.142313
900167243;Fundacion De Corazon A Corazon;Galerías;Teusaquillo;Carrera  20 # 52 - 20;4.640672, -74.071478
